J48_pruning,J48_numFolds,probability
J48_unpruned,2,0.0
J48_unpruned,3,0.0
J48_unpruned,4,0.0
J48_unpruned,5,0.0
J48_unpruned,6,0.0
J48_unpruned,7,0.0
J48_unpruned,8,0.0
J48_unpruned,9,0.0
J48_unpruned,10,0.0
J48_unpruned,null,1.0
J48_reducedErrorPruning,2,0.1
J48_reducedErrorPruning,3,0.2
J48_reducedErrorPruning,4,0.1
J48_reducedErrorPruning,5,0.1
J48_reducedErrorPruning,6,0.1
J48_reducedErrorPruning,7,0.1
J48_reducedErrorPruning,8,0.1
J48_reducedErrorPruning,9,0.1
J48_reducedErrorPruning,10,0.1
J48_reducedErrorPruning,null,0.0
J48_confidenceFactor,2,0.0
J48_confidenceFactor,3,0.0
J48_confidenceFactor,4,0.0
J48_confidenceFactor,5,0.0
J48_confidenceFactor,6,0.0
J48_confidenceFactor,7,0.0
J48_confidenceFactor,8,0.0
J48_confidenceFactor,9,0.0
J48_confidenceFactor,10,0.0
J48_confidenceFactor,null,1.0
null,2,0.0
null,3,0.0
null,4,0.0
null,5,0.0
null,6,0.0
null,7,0.0
null,8,0.0
null,9,0.0
null,10,0.0
null,null,1.0
