PART_pruning,PART_numFolds,probability
PART_unpruned,2,0.0
PART_unpruned,3,0.0
PART_unpruned,4,0.0
PART_unpruned,5,0.0
PART_unpruned,6,0.0
PART_unpruned,7,0.0
PART_unpruned,8,0.0
PART_unpruned,9,0.0
PART_unpruned,10,0.0
PART_unpruned,null,1.0
PART_reducedErrorPruning,2,0.1
PART_reducedErrorPruning,3,0.2
PART_reducedErrorPruning,4,0.1
PART_reducedErrorPruning,5,0.1
PART_reducedErrorPruning,6,0.1
PART_reducedErrorPruning,7,0.1
PART_reducedErrorPruning,8,0.1
PART_reducedErrorPruning,9,0.1
PART_reducedErrorPruning,10,0.1
PART_reducedErrorPruning,null,0.0
PART_confidenceFactor,2,0.0
PART_confidenceFactor,3,0.0
PART_confidenceFactor,4,0.0
PART_confidenceFactor,5,0.0
PART_confidenceFactor,6,0.0
PART_confidenceFactor,7,0.0
PART_confidenceFactor,8,0.0
PART_confidenceFactor,9,0.0
PART_confidenceFactor,10,0.0
PART_confidenceFactor,null,1.0
null,2,0.0
null,3,0.0
null,4,0.0
null,5,0.0
null,6,0.0
null,7,0.0
null,8,0.0
null,9,0.0
null,10,0.0
null,null,1.0
